試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788115,2026-03-05,Pool C,C,7,Czechia,Korea,823568,Byeong Hyeon Jo,807160,Milan Prokop,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,7,Czechia,Korea,823568,Byeong Hyeon Jo,693975,Martin Cervinka,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,7,Czechia,Korea,823568,Byeong Hyeon Jo,679631,Terrin Vavra,1,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,7,Korea,Czechia,807155,Lukas Ercoli,838336,Hyun Min Ahn,4,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,7,Korea,Czechia,807155,Lukas Ercoli,823575,Bo Gyeong Moon,5,安打,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,7,Korea,Czechia,807155,Lukas Ercoli,694376,Shay Whitcomb,4,アウト,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,7,Korea,Czechia,807155,Lukas Ercoli,808975,Hyeseong Kim,5,アウト,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,7,Korea,Czechia,807155,Lukas Ercoli,673526,Dong Won Park,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,8,Czechia,Korea,838342,Young Kyu Kim,548431,Martin Cervenka,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,8,Czechia,Korea,838342,Young Kyu Kim,803013,Marek Chlup,8,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,8,Czechia,Korea,838342,Young Kyu Kim,693973,Martin Muzik,6,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
